Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   ,   ,   ,   ,   ,   , Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   , Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   ,   ,   ,   ,   , Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   , 
P*, P , P , P , P , P , P , P , P , P , P , P , P , P*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , Y*, Y , Y , Yn, Yo, Yt, Y , Ys, Ya, Yy, Y , Yi, Yt, Y , Yo, Yu, Yt, Y , Yl, Yo, Yu, Yd, Y., Y , YC, Yo, Yd, Ye, Y , Y*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
P*, P*, P*, P*, P*, P*, P*, P*, P*, P*, P*, P*, P*, P*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*, Y*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
C*, C*, C*, C*, C*, C*, C*, C*,   , G*, G*, G*, G*, G*, G*, G*, G*,   ,   ,   , M*, M*, M*, M*, M*, M*, M*,   ,   ,   , L*, L*, L*, L*, L*, L*, L*, L*, L*,   , C*, C*, C*, C*, C*, C*, C*, C*, C*,   , G*, G*, G*, G*, G*, G*, G*, G*, G*,   , R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, 
C*, C , Ca, C , Cb, C , Cc, C*,   , G*, G , Ga, G , Gb, G , Gc, G*,   ,   ,   , M*, Ma, M , Mb, M , Mc, M*,   ,   ,   , L*, La, L , Lb, L , Lc, L , Ld, L*,   , C*, Ca, C , Cb, C , Cc, C , Cd, C*,   , G*, Ga, G , Gb, G , Gc, G , Gd, G*,   , R*, R , R , R , R , R , RH, Re, Ry, R , Ry, Ra, Rl, R!, R , R , R , R , R , 
C*, C , Cd, C , Ce, C , Cf, C*,   , G*, G , Gd, G , Ge, G , Gf, G*,   ,   ,   , M*, Md, M , Me, M , Mf, M*,   ,   ,   , L*, Le, L , Lf, L , Lg, L , Lh, L*,   , C*, Ce, C , Cf, C , Cg, C , Ch, C*,   , G*, G*, G*, G*, G*, G*, G*, G*, G*,   , R*, R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , 
C*, C , Cg, C , Ch, C , Ci, C*,   , G*, G , Gg, G , Gh, G , Gi, G*,   ,   ,   , M*, Mg, M , Mh, M , Mi, M*,   ,   ,   , L*, Li, L , Lj, L , Lk, L , Ll, L*,   , C*, Ci, C , Cj, C , Ck, C , Cl, C*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , R*, R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , R , 
C*, C , Cj, C , Ck, C , Cl, C*,   , G*, G , Gj, G , Gk, G , Gl, G*,   ,   ,   , M*, Mj, M , Mk, M , Ml, M*,   ,   ,   , L*, Lm, L , Ln, L , Lo, L , Lp, L*,   , C*, Cm, C , Cn, C , Co, C , Cp, C*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, R*, 
C*, C , Cm, C , Cn, C , Co, C*,   , G*, G , Gm, G , Gn, G , Go, G*,   ,   ,   , M*, Mm, M , Mn, M , Mo, M*,   ,   ,   , L*, Lq, L , Lr, L , Ls, L , Lt, L*,   , C*, Cq, C , Cr, C , Cs, C , Ct, C*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
C*, C , Cp, C , Cq, C , Cr, C*,   , G*, G , Gp, G , Gq, G , Gr, G*,   ,   ,   , M*, Mp, M , Mq, M , Mr, M*,   ,   ,   , L*, Lu, L , Lv, L , Lw, L , Lx, L*,   , C*, Cu, C , Cv, C , Cw, C , Cx, C*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
C*, C*, C*, C*, C*, C*, C*, C*,   , G*, G*, G*, G*, G*, G*, G*, G*,   ,   ,   , M*, M*, M*, M*, M*, M*, M*,   ,   ,   , L*, L*, L*, L*, L*, L*, L*, L*, L*,   , C*, C*, C*, C*, C*, C*, C*, C*, C*,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 
